  -0.02689 ,    0.42284 ,   -0.50652
   0.73181 ,   -0.41420 ,   -0.72455
   0.41242 ,   -0.32390 ,   -0.67719
  -0.04117 ,   -0.16547 ,   -0.60810
   2.20483 ,    0.19419 ,   -0.32797
   1.93510 ,    0.27120 ,   -0.32043
  -0.91154 ,    0.34297 ,   -0.05680
  -0.44176 ,    1.12430 ,   -1.12017
  -0.37865 ,    1.23029 ,   -1.12076
   0.94148 ,   -1.57609 ,    0.99440
   0.06792 ,   -0.72441 ,    1.39073
   2.83924 ,    1.27381 ,    0.81870
  -0.20872 ,   -0.13235 ,    0.49688
  -0.47268 ,   -0.03232 ,    0.44055
  -0.32344 ,   -0.11841 ,    0.63222
   0.04384 ,   -0.94589 ,   -0.47614
  -0.40261 ,   -0.56206 ,   -0.54963
   0.55607 ,    0.12353 ,   -0.43718
   1.36112 ,   -2.55258 ,   -0.03577
  -1.03221 ,   -1.10844 ,   -1.32247
  -1.07611 ,   -1.19284 ,   -1.43039
   0.21238 ,   -3.06094 ,   -0.32680
   0.46825 ,    0.85169 ,    1.63166
  -0.53655 ,    0.65744 ,    0.60657
  -0.20648 ,    0.85326 ,    1.35839
  -0.38053 ,    0.61024 ,    1.25326
  -0.30941 ,    0.80390 ,    0.98231
  -2.64089 ,   -0.11954 ,    0.49183
   3.62698 ,    0.19150 ,   -0.28544
  -0.20616 ,   -0.19861 ,    0.85123
   0.29774 ,    1.44648 ,   -0.70924
  -0.57285 ,   -0.25573 ,    0.82410
  -0.24701 ,    1.15806 ,   -0.67205
  -1.35662 ,   -0.28840 ,    0.70109
  -0.89919 ,    1.66151 ,   -1.17440
  -1.65084 ,   -0.50272 ,    0.81361
  -0.03286 ,    0.40368 ,   -0.62891
  -0.32432 ,    0.37907 ,   -0.52333
  -1.01970 ,    0.27494 ,   -0.25332
