,formulas,rmse,pearson_coeff,pval
49,(EA_A + EA_B**2)/((Z_A**3)),0.2096939454607704,-0.007166442972369378,0.9490502937540298
50,(EA_A + EA_B**2)/((Z_B**2)),0.2036605532477873,-0.1921384622086949,0.08375014729610486
51,(EA_A + EA_B**2)/((Z_B**3)),0.2066683258513873,-0.15383356904975198,0.16762804741899634
52,(EA_A + EA_B**2)/((rp_A**2)),0.215922652692266,0.14606092404747784,0.19040995229574426
53,(EA_A + EA_B**2)/((rp_A**3)),0.1872993387726702,0.39196182236094135,0.00027079762360844616
54,(EA_A + EA_B**2)/((rp_B**2)),0.1985603994283404,-0.2441050778064631,0.0270996471793145
55,(EA_A + EA_B**2)/((rp_B**3)),0.2018406692494981,-0.20139744554272235,0.06962026072977055
56,(EA_A + EA_B**2)/((rs_A**2)),0.2166500145832354,-0.018540253753133534,0.8686874733051907
57,(EA_A + EA_B**2)/((rs_A**3)),0.2100548265367506,0.19154282918649793,0.08473189599982552
58,(EA_A + EA_B**2)/((rs_B**2)),0.1942748273747445,-0.28959390044261407,0.008316809277183701
59,(EA_A + EA_B**2)/((rs_B**3)),0.1993043793062209,-0.23457846707556643,0.03389799223524509
60,(EA_A + EA_B**2)/(exp(EA_A)),0.2000359159518183,-0.23797731965709198,0.031324471190507214
61,(EA_A + EA_B**2)/(exp(EA_B)),0.1882591097179481,-0.3361517934725753,0.002017572738983773
62,(EA_A + EA_B**2)/(exp(IP_A)),0.2086434299598189,0.08870936647067447,0.4280519793150015
63,(EA_A + EA_B**2)/(exp(IP_B)),0.204588627298266,-0.15252049805969276,0.17132866380286818
64,(EA_A + EA_B**2)/(exp(Z_A)),0.2094210805100581,-0.017555216599879065,0.875606761289263
65,(EA_A + EA_B**2)/(exp(Z_B)),0.2159579595845321,-0.0506800754629714,0.6511443988695129
66,(EA_A + EA_B**2)/(exp(rp_A)),0.2166260264227036,0.0002762907995949304,0.9980344055719956
67,(EA_A + EA_B**2)/(exp(rp_B)),0.1800500582400493,-0.4000777942146247,0.0001960543487065595
68,(EA_A + EA_B**2)/(exp(rs_A)),0.2095485335339273,-0.174193813436601,0.11754347092660071
69,(EA_A + EA_B**2)/(exp(rs_B)),0.1748352222676091,-0.43198838203873485,5.067251777221013e-05
70,(EA_A + EA_B**2)/(sqrt(fabs(EA_A))),0.1616586024151423,-0.5012431151755885,1.614371062870666e-06
71,(EA_A + EA_B**2)/(sqrt(fabs(EA_B))),0.1599916525796896,-0.5149690830924769,7.422612359541923e-07
72,(EA_A + EA_B**2)/(sqrt(fabs(IP_A))),0.1606924318793136,-0.5043185243115597,1.3604087088362055e-06
73,(EA_A + EA_B**2)/(sqrt(fabs(IP_B))),0.1590504917730196,-0.5169237290281132,6.626625615658134e-07
74,(EA_A + EA_B**2)/(sqrt(fabs(Z_A))),0.2037105125070408,-0.2084465440250023,0.060205477821760306
75,(EA_A + EA_B**2)/(sqrt(fabs(Z_B))),0.1836799879322041,-0.3760071503949358,0.0004989923724688444
76,(EA_A + EA_B**2)/(sqrt(fabs(rp_A))),0.1822534921585942,-0.39806621739722325,0.00021255849839701857
77,(EA_A + EA_B**2)/(sqrt(fabs(rp_B))),0.1765552116077625,-0.422240364729371,7.772448467433971e-05
78,(EA_A + EA_B**2)/(sqrt(fabs(rs_A))),0.1795962837706828,-0.4134652623177447,0.00011298240419434046
79,(EA_A + EA_B**2)/(sqrt(fabs(rs_B))),0.1727454207432422,-0.4442245906300408,2.906632940575977e-05
80,(EA_A + EA_B**3)/((EA_A**2)),0.216417734152842,-0.1372316114676837,0.2189092261205109
81,(EA_A + EA_B**3)/((EA_A**3)),0.1717781776101976,0.4598338791218643,1.3859156998857908e-05
82,(EA_A + EA_B**3)/((EA_B**2)),0.1702519776400133,0.45179644420365095,2.0385583005899798e-05
83,(EA_A + EA_B**3)/((EA_B**3)),0.1861257093326119,0.41706748006453553,9.702066323988051e-05
84,(EA_A + EA_B**3)/((IP_A**2)),0.1816648487107313,0.38119501986872345,0.0004104417808522379
85,(EA_A + EA_B**3)/((IP_A**3)),0.1867078062788245,-0.34555242780637024,0.001474649273394211
